특성명,IV,AUC,다중공선성경고
이해관계자_불신지수,2.205018304284087,0.858220384286547,True
신용등급점수,1.666687101008152,0.8232409160835589,True
연체심각도,1.0297046881133742,0.6908854777004966,False
순부채비율,0.22295864226315681,0.5429421844311206,True
부채레버리지,0.2098574782959197,0.6209421339153012,True
이자부담률,0.17543837783641497,0.6116386658975019,False
이자보상배율,0.1423136430908484,0.4151084859260844,False
매출채권_이상지표,0.14091868749123704,0.5695529675721014,False
유동성압박지수,0.12416668739232767,0.5850555035890528,False
부채상환년수,0.11562940957943638,0.4562143188638619,False
즉각지급능력,0.10821329540863095,0.46241353371132626,False
재고회전율,0.106856837933164,0.43001273521962396,False
운전자본비율,0.1043972889840452,0.46944954364083524,False
판관비효율성,0.0983756585164679,0.418963975011864,False
재고보유일수,0.09206624915543776,0.5662981414824213,False
OCF_대_유동부채,0.09044053977756947,0.4422740886900794,False
매출집중도,0.08412043953395834,0.42874829115289115,False
매출채권회전율,0.08238341596240358,0.47335980714704856,False
긴급유동성,0.08163205583745509,0.4399780752799983,False
총발생액,0.07078694697309092,0.4574331331550542,False
운전자본,0.06627957969308348,0.4336012006745197,False
운전자본_대_자산,0.06222512168861903,0.4471567683695357,False
현금창출능력,0.05376980482363522,0.44485290524967763,False
현금소진일수,0.0468439136517973,0.4739017441681329,False
공공정보리스크,0.042127663096351256,0.3998914764273482,False
매출총이익률,0.032982040753170495,0.48430009985151234,False
현금흐름품질,0.02390554626032587,0.4724477322802547,False
