feature,ks_stat,p_value,significant,val_median,test_median,val_mean,test_mean,val_std,test_std,median_diff_%,mean_diff_%
매출채권회전율,0.016764793932741245,0.11830466096560988,⚪,9.52107849518891,9.512540990871225,811252.8913216469,823869.150742994,12372598.260223638,5787472.290712363,0.08966950869097542,1.555157406070175
신용등급점수,0.015467518211755293,0.1799382868799193,⚪,5.0,5.0,4.677377507234807,4.640055882646442,2.0679563006905832,2.091344236475596,0.0,0.7979177316956978
재고보유일수,0.014768985131224432,0.22231091251685375,⚪,42.38973898904694,41.49026154189095,493.1978202127476,471.83911562977005,1123.7876593042158,1102.051500757151,2.121922588804359,4.330656727828021
재고회전율,0.014569404251072782,0.235713633330923,⚪,8.507690947666195,8.668429168492366,2069266.8758770807,2408181.7585638836,19638944.49039049,25113522.065307166,1.8893283926978124,16.37850035864265
부채상환년수,0.014070452050693572,0.271851381361221,⚪,2.067458363370572,2.211543874772491,13.012370432059024,179.3140916475895,1247.7319195139764,17828.27334280835,6.969209791973554,1278.0278732152017
판관비효율성,0.012872966769783445,0.3743452605155203,⚪,0.1632738200245463,0.1731493099121706,210.70358156360925,36.471950477424166,16823.228775681826,3516.9266614128724,6.048421774720193,82.69039841893589
긴급유동성,0.012374014569404235,0.4235303865937874,⚪,1.4595716066559756,1.4677310145753892,1557991.615077765,1399932.9811270973,11567293.276716916,12891595.64518064,0.5590275822235861,10.145024685693024
이자보상배율,0.01137611016864587,0.5318943450098972,⚪,2.905371577210304,3.0471732924200348,93673.26535661802,59991.0045852048,1963143.5752386656,1516525.4443532159,4.880673984489763,35.957175874226074
유동성압박지수,0.011076738848418338,0.566472514005371,⚪,0.3038490812317779,0.2961542651199803,18.84020688058213,3.548269623097106,871.7460253932001,71.39772540459829,2.5324466433661206,81.16650388340045
매출채권_이상지표,0.010976948408342513,0.5781507977556395,⚪,0.1120337640934812,0.1099334166330407,16162.880988666248,5927.326599078527,873569.23511599,454743.54860420345,1.8747448949528143,63.32753669818377
매출집중도,0.010777367528190807,0.6016863556557195,⚪,0.994988302416999,0.9970209625351888,1.4244774369520135,1.4622940936969269,1.576677265309072,1.7894637364044335,0.20428984871712985,2.654773989285023
이자부담률,0.0105777866480391,0.625399318322192,⚪,0.0070540102048014,0.0070617775226894,5997.046388124809,2669.311040394977,198385.16473870433,103494.1024277467,0.11011193138791125,55.48957157166193
부채레버리지,0.009779463127432386,0.7203020422479912,⚪,1.371019983641443,1.3472822875641175,13.966319399690146,14.096181910231323,568.2309269120536,600.8562671511776,1.7313894901180757,0.9298262966195305
매출총이익률,0.009579882247280735,0.7435439164560689,⚪,22.251396742095714,22.455535179766333,-67646.31845626349,-44625.68812950186,6347602.330534264,2583718.332112357,0.9174185330698033,34.03086945765148
운전자본비율,0.00938030136712903,0.7663701081995449,⚪,0.1755063173604399,0.1731921535905164,78398.68487826413,46480.15886986863,3653273.2835646938,2709146.0493271644,1.318564296072849,40.713088565138385
총발생액,0.009180720486977378,0.7886602609122948,⚪,37922.0,41357.0,-2647959.936732861,344511.90579782455,129127638.1054288,86450998.44217166,9.05806655766862,113.01046518939721
순부채비율,0.008881349166749819,0.8208199906484301,⚪,1.1279664375074692,1.1239496334133867,-7.09817739259214,5.545516930116261,700.1932377522273,601.1636255294886,0.35611024627182897,178.12592734144863
OCF_대_유동부채,0.008382396966370553,0.8699886445519103,⚪,0.0,0.0,0.13939466314806015,0.1741139537784361,4.04857396476818,3.7120034063375744,0.0,24.907186082712318
현금소진일수,0.008282606526294867,0.8790240938146798,⚪,0.0,0.0,279277.44001265464,64711.50490757915,18188710.02010892,1176581.159846602,0.0,76.82895370830718
현금창출능력,0.007983235206067252,0.9042930395247247,⚪,0.0,0.0,-3159.563908785317,-15929.302628211146,982769.9768100127,937589.3460760321,0.0,404.16143138863407
운전자본,0.007484283005688097,0.9396634033809497,⚪,636359.0,613143.0,4881881.485480491,12484097.543059574,325623620.0872196,277309130.5114005,3.64825515157319,155.72307685447288
현금흐름품질,0.0069853308053088314,0.965980105268503,⚪,0.0,0.0,-2.917839058730565,-6.648058831110729,324.50868720413945,592.0699032019292,0.0,127.84186120323055
즉각지급능력,0.006386588164853824,0.9859871234391301,⚪,0.0,0.0,0.2662616837703313,0.23188005766774966,3.435151207643363,1.938342290351955,0.0,12.91271966903288
운전자본_대_자산,0.006087216844626264,0.9919248700611958,⚪,0.228648807323096,0.230285078292815,0.13184157952485762,0.15334770093258723,1.7520961110833384,0.7842862608863292,0.7156262555282913,16.312092022885405
연체심각도,0.0031932940824269673,0.9999999994209664,⚪,0.0,0.0,201.53004428520194,534.7619588065232,6292.310079618462,34770.55782621187,0.0,165.3509855995476
공공정보리스크,0.00289392276219938,0.9999999999960749,⚪,1999999998.0,1999999998.0,1916974422.8883345,1914180291.6253867,398965720.40438926,405327819.44413257,0.0,0.14575735751016636
